search URL:,"https://patents.google.com/?q=compounds&q=following&q=materials&q=sodium&q=siliconate&country=RU,US&before=publication:20101228&status=APPLICATION&language=RUSSIAN,ENGLISH&scholar&sort=new&clustered=false"
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20050031790A1,Coating composition for metal substrates ,"Jackson Paul A, Davies Gerald H., Davies Gillian Diane","Paul Jackson, Gerald Davies, Gillian Davies",2001-09-11,2002-08-13,2005-02-10,,https://patents.google.com/patent/US20050031790A1/en
US20040171893A1,Method of increasing the lifetime of a hydro-oxidation catalyst ,"Barton David G., Bowman Robert G, Hartwell George E, Clark Howard W, Alexander Kuperman","David Barton, Robert Bowman, George Hartwell, Howard Clark, Alexander Kuperman",2001-08-01,2002-07-31,2004-09-02,,https://patents.google.com/patent/US20040171893A1/en
US20040234786A1,"Method for production of a sealed coating for surfaces of buildings comprising a cross-linked sealed silicone membrane, adhesive and ready-to-use kit for application of said method ","Yves Giraud, Sylvie Michiels","Yves Giraud, Sylvie Michiels",2001-06-29,2002-07-01,2004-11-25,,https://patents.google.com/patent/US20040234786A1/en
US20060048670A1,Aqueous chemical mixture to mitigate water associated problems in concrete pavements ,Radi Al-Rashed,Radi Al-Rashed,2002-06-06,2002-06-06,2006-03-09,,https://patents.google.com/patent/US20060048670A1/en
US20030034479A1,Method for rehabilitative and/or protective corrosion-inhibition of reinforcing steel embedded in a hardened concrete structure by means of surface-applied corrosion-inhibiting compositions ,"Beat Marazzani, Burge Theodor A., Urs Mader","Beat Marazzani, Theodor Burge, Urs Mader",1998-05-13,2002-05-01,2003-02-20,,https://patents.google.com/patent/US20030034479A1/en
US20040087719A1,Silicon resin-based binding agents and their use in methods for producing mineral fibre based shaped bodies ,"Holger Rautschek, Gunter Beuschel, Bernward Deubzer, Karin Haneburger","Holger Rautschek, Gunter Beuschel, Bernward Deubzer, Karin Haneburger",2001-04-04,2002-03-28,2004-05-06,,https://patents.google.com/patent/US20040087719A1/en
US20020115811A1,Reactive diluent in moisture curable system ,Crompton Corporation,"Misty Huang, Richard Handel, Herbert Petty",1998-04-17,2002-02-04,2002-08-22,,https://patents.google.com/patent/US20020115811A1/en
US20030119779A1,Stabilization of vitamins in water-in silicone oil (W/O) emulsions ,"Maxon Bartley Dean, Starch Michael Stephen","Bartley Maxon, Michael Starch",2001-12-19,2001-12-19,2003-06-26,,https://patents.google.com/patent/US20030119779A1/en
US20030113565A1,"Weatherproof sheets for copying, printing and writing and methods related thereto ",J.L. Darling Corporation,"Scott Silver, Todd Silver, Dennis Oscar",2001-12-17,2001-12-17,2003-06-19,,https://patents.google.com/patent/US20030113565A1/en
US20020034650A1,Curable coating compositions ,Neely James E.,James Neely,2000-07-19,2001-11-30,2002-03-21,,https://patents.google.com/patent/US20020034650A1/en
US20020051890A1,Blocked phenolic silanes ,Witco Corporation,"Eric Pohl, Scot Turner",1999-07-29,2001-10-17,2002-05-02,,https://patents.google.com/patent/US20020051890A1/en
US20040005649A1,Anti-stilbene antibodies ,"Peter Wirsching, Janda Kim D, Lerner Richard A.","Peter Wirsching, Kim Janda, Richard Lerner",2001-09-13,2001-09-13,2004-01-08,,https://patents.google.com/patent/US20040005649A1/en
US20050276923A1,Primer coating of steel ,"Davies Gerald H, Davies Gillian D, Jackson Paul A","Gerald Davies, Gillian Davies, Paul Jackson",2000-09-13,2001-09-13,2005-12-15,,https://patents.google.com/patent/US20050276923A1/en
US20040037964A1,Primer coating of steel ,"Davies Gerald Howard, Davies Gillian Diane, Johan Peter Harry, Jackson Paul Anthony","Gerald Davies, Gillian Davies, Peter Johan, Paul Jackson",2000-09-13,2001-09-11,2004-02-26,,https://patents.google.com/patent/US20040037964A1/en
US20020051744A1,Coated metal peroxides ,"Werner Doetsch, Gabriele Wasem","Werner Doetsch, Gabriele Wasem",2000-07-18,2001-07-18,2002-05-02,,https://patents.google.com/patent/US20020051744A1/en
US20020094937A1,Composition intended for the protection of a solid substrate and its use ,"Pierre Hirsbrunner, Ian Horman","Pierre Hirsbrunner, Ian Horman",2001-01-12,2001-07-10,2002-07-18,,https://patents.google.com/patent/US20020094937A1/en
US20020183516A1,Cross-coupling reaction of organosilicon nucleophiles ,"Denmark Scott E., Choi Jun Young, Daniel Wehrli, Zhicai Wu, Luc Neuville, Weitao Pan, Sweis Ramzi F., Zhigang Wang, Shyh-Ming Yang","Scott Denmark, Jun Choi, Daniel Wehrli, Zhicai Wu, Luc Neuville, Weitao Pan, Ramzi Sweis, Zhigang Wang, Shyh-Ming Yang",2000-06-06,2001-06-06,2002-12-05,,https://patents.google.com/patent/US20020183516A1/en
US20020010300A1,Porous polymethylsilsesquioxane with adsorbent properties ,Hubert Mimoun,Hubert Mimoun,1998-12-22,2001-06-06,2002-01-24,,https://patents.google.com/patent/US20020010300A1/en
US20010031818A1,Aqueous silicone dispersion ,"Michel Feder, Philippe Jost, Michel Letoffe, Marie-Cecile Duchamp","Michel Feder, Philippe Jost, Michel Letoffe, Marie-Cecile Duchamp",1996-09-26,2001-04-27,2001-10-18,,https://patents.google.com/patent/US20010031818A1/en
US20010034391A1,Polymer composition for flexibilizing building materials ,Wacker Chemie Gmbh,"Herbert Eck, Klaus Adler, Hermann Lutz, Heinrich Hopf",2000-03-06,2001-03-05,2001-10-25,,https://patents.google.com/patent/US20010034391A1/en
US20020148994A1,Compositions to enhance fabric freshness and appearance ,Givaudan Sa,"Thomas McGee, Gerald Hart, Guy Naish",2001-02-02,2001-02-02,2002-10-17,,https://patents.google.com/patent/US20020148994A1/en
US20040011563A1,Novel compounds and method for generating a highly efficient membrane in water-based drilling fluids ,"Mody Fersheed K, Pober Kenneth W, Tan Chee Phuat, Drummond Calum J, Geroge Georgaklis, Darrell Wells","Fersheed Mody, Kenneth Pober, Chee Tan, Calum Drummond, Geroge Georgaklis, Darrell Wells",2000-12-30,2000-12-30,2004-01-22,,https://patents.google.com/patent/US20040011563A1/en
